Position	Percent Accuracy
1	0.8213016986846924
2	0.9208280444145203
3	0.9185856580734253
4	0.7932415008544922
5	0.8805701732635498
6	0.9305194616317749
7	0.7090977430343628
8	0.8657312989234924
9	0.9271758794784546
10	0.754646897315979
11	0.8681448698043823
12	0.9280737638473511
13	0.5791152119636536
14	0.8450942039489746
15	0.9257159233093262
16	0.6462438106536865
17	0.8544089794158936
18	0.9347100853919983
19	0.567146360874176
20	0.8364521265029907
21	0.933253288269043
22	0.4384171962738037
23	0.8589703440666199
24	0.9413316249847412
25	0.4810398817062378
26	0.8948588371276855
27	0.9597828984260559
28	0.5615469813346863
29	0.9139910340309143
30	0.9448484182357788
31	0.43976956605911255
32	0.8725049495697021
33	0.960980236530304
34	0.4305925667285919
35	0.8623304963111877
36	0.9507380723953247
37	0.34815001487731934
38	0.8171956539154053
39	0.9570087790489197
40	0.47097620368003845
41	0.8099889755249023
42	0.940416693687439
43	0.42630407214164734
44	0.7739485502243042
45	0.9526594877243042
46	0.3864695727825165
47	0.8314869999885559
48	0.9486957788467407
49	0.36234354972839355
50	0.7574926018714905
51	0.9497368931770325
52	0.46421903371810913
53	0.7413644790649414
54	0.897700846195221
55	0.4526785612106323
56	0.7121893763542175
57	0.8804735541343689
58	0.6184014081954956
59	0.7664039134979248
60	0.8934633135795593
61	0.5920993685722351
62	0.7474243640899658
63	0.8965751528739929
64	0.5581761002540588
65	0.7610796689987183
66	0.8585212826728821
67	0.5455446243286133
68	0.8296964764595032
69	0.8609607815742493
70	0.6026142835617065
71	0.8101070523262024
72	0.8893235325813293
73	0.4723031222820282
74	0.8937317132949829
75	0.9074202179908752
76	0.4707348644733429
77	0.894063413143158
78	0.926713228225708
79	0.3944956362247467
80	0.8700380325317383
81	0.9389262199401855
82	0.4281543791294098
83	0.9056024551391602
84	0.9703189134597778
85	0.46339157223701477
86	0.9530318379402161
87	0.9725196361541748
88	0.47587719559669495
89	0.9318094253540039
90	0.968689501285553
91	0.33296698331832886
92	0.9229844808578491
93	0.9736679792404175
94	0.3875966966152191
95	0.9475001096725464
96	0.9866146445274353
97	0.4600642919540405
98	0.9514982104301453
99	0.989595353603363
100	0.4775010049343109
101	0.939697802066803
102	0.9858983755111694
103	0.3687164783477783
104	0.9353477954864502
105	0.9904572367668152
106	0.3555225133895874
107	0.9571741223335266
108	0.9941784143447876
109	0.4489385485649109
110	0.9554559588432312
111	0.9943658113479614
112	0.3298497498035431
113	0.9598326086997986
